dataset,missing_data_type,missing_rate,iteration_nr,best_inpainting_method,best_inpainting_MAPE,best_traditional_method,best_traditional_MAPE,improvement,improvement_pct,inpainting_predictions,traditional_predictions
lake3,MAR,50,2,gaf-unet,0.9300757462254196,impute_bfill,1.0212890349699668,0.09121328874454726,8.931192406979047,"[228.52003479003903, 229.06146240234372, 229.4618682861328, 228.75677490234372, 229.08587646484372, 229.4248809814453, 228.58827209472656, 230.09523010253903, 229.826171875, 229.36697387695312]","[228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065, 228.77700805664065]"
lake2,MCAR,50,10,rp-unet,0.318683176362067,impute_mode,0.3490715512060513,0.030388374843984323,8.70548594951141,"[645.4072875976562, 645.2053833007812, 644.810546875, 645.8599243164062, 644.8939819335938, 644.217041015625, 644.3302001953125, 645.5882568359375, 647.2880859375, 645.8777465820312]","[645.6416625976562, 646.3361206054688, 645.1283569335938, 645.8856811523438, 645.6715087890625, 645.9268798828125, 646.00732421875, 644.910400390625, 646.6860961914062, 646.9338989257812]"
lake3,MAR,50,5,gaf-unet,0.8269827709340334,interpolate_nearest,0.9056476075629876,0.07866483662895418,8.686031517339714,"[231.1634979248047, 231.06727600097656, 231.5128936767578, 231.7642822265625, 231.3790740966797, 231.8148498535156, 230.7896270751953, 230.84413146972656, 231.50083923339844, 231.16575622558597]","[233.26402282714844, 233.26402282714844, 233.26402282714844, 230.9995574951172, 230.9705352783203, 230.4842987060547, 233.08924865722656, 233.14337158203125, 233.10610961914065, 233.6996154785156]"
vibr,MCAR,50,4,mtf-unet,16.449655746574503,interpolate_polynomial,18.004488753101604,1.554833006527101,8.635807591366639,"[30.697790145874023, 28.89229202270508, 34.214698791503906, 37.10785675048828, 36.31570053100586, 33.428550720214844, 27.332826614379883, 34.722755432128906, 26.991735458374023, 35.61600112915039]","[27.628833770751957, 27.17519187927246, 38.984710693359375, 33.66655349731445, 27.784198760986328, 26.206844329833984, 28.750349044799805, 35.3448600769043, 33.38977813720703, 39.77524185180664]"
lake2,MAR,5,7,mtf-unet,0.3648829196349343,interpolate_polynomial,0.3992960820569423,0.03441316242200798,8.618457322378745,"[646.908935546875, 647.140625, 646.7431030273438, 647.4995727539062, 646.7140502929688, 645.4760131835938, 648.2643432617188, 647.1134643554688, 646.480224609375, 646.8394775390625]","[646.89892578125, 646.5823974609375, 646.3607177734375, 647.55810546875, 647.5517578125, 646.7445068359375, 648.0233764648438, 647.1306762695312, 646.6234130859375, 647.424072265625]"
vibr,MAR,5,6,mtf-unet,18.85991045109905,interpolate_index,20.618973616906576,1.7590631658075253,8.531283848024216,"[39.23933410644531, 31.920751571655277, 34.55213165283203, 39.10446548461914, 40.31559371948242, 32.2981071472168, 34.46924591064453, 35.623050689697266, 28.921859741210938, 39.44068145751953]","[38.25552368164063, 37.54940032958984, 28.921525955200195, 33.78907012939453, 27.088441848754883, 43.66714859008789, 33.480770111083984, 35.24134826660156, 33.34109115600586, 32.57750701904297]"
lake1,MCAR,20,7,mtf-unet,0.4382833557868485,impute_mode,0.4788218007271663,0.040538444940317775,8.466290565457497,"[425.9735412597656, 426.4381103515625, 425.4592590332031, 425.0900573730469, 426.0760803222656, 425.7726440429688, 425.32861328125, 425.8011474609375, 424.8902587890625, 424.3370666503906]","[426.6943664550781, 427.3312072753906, 425.20452880859375, 424.8840637207031, 425.5171508789063, 426.4454956054688, 425.524658203125, 426.28656005859375, 422.4159851074219, 426.8053283691406]"
vibr,MAR,20,3,rp-unet,18.741251570990023,impute_mode,20.41402149533297,1.6727699243429477,8.194220451493962,"[33.33042526245117, 34.47694778442383, 32.58295822143555, 31.718292236328125, 29.12095069885254, 33.979732513427734, 35.90019226074219, 35.71324157714844, 39.21329879760742, 32.864227294921875]","[30.302453994750977, 26.292102813720703, 37.83278274536133, 32.06300354003906, 28.88265609741211, 30.051055908203125, 28.708871841430664, 42.671485900878906, 28.1682186126709, 32.29311752319336]"
lake1,MNAR,2,3,mtf-unet,0.3996976206703351,impute_mode,0.4349622800085547,0.035264659338219595,8.10752126311413,"[426.8009338378906, 427.0533752441406, 424.8937683105469, 426.0599670410156, 425.2231750488281, 426.5215148925781, 424.8672180175781, 426.5343017578125, 425.4549865722656, 423.3193359375]","[426.8757629394531, 426.7052001953125, 425.8196105957031, 426.5861206054688, 425.5294494628906, 425.604736328125, 425.3289794921875, 425.242919921875, 425.6440734863281, 427.4883117675781]"
lake1,MNAR,5,9,mtf-unet,0.4666961252528878,impute_median,0.5072835635585681,0.04058743830568029,8.00093699487551,"[426.2308654785156, 425.53662109375, 425.5818176269531, 426.3602600097656, 426.3284912109375, 425.568115234375, 425.7574462890625, 426.6491088867188, 426.04193115234375, 423.8038330078125]","[426.7067565917969, 426.6130981445313, 426.5926818847656, 426.4857177734375, 426.4679870605469, 426.0774536132813, 426.4862365722656, 426.6167907714844, 426.28265380859375, 426.5993041992188]"
lake2,MCAR,5,7,spec-unet,0.362916716817348,interpolate_akima,0.3928181792602431,0.0299014624428951,7.612036311355464,"[647.3973388671875, 646.8369750976562, 646.10498046875, 646.4302978515625, 646.6458129882812, 646.3740234375, 647.484130859375, 645.5670166015625, 647.366943359375, 646.6839599609375]","[647.3787231445312, 646.6075439453125, 646.750244140625, 647.339599609375, 647.388427734375, 646.6039428710938, 648.1515502929688, 647.158935546875, 646.2825927734375, 647.9341430664062]"
lake3,MAR,2,10,spec-unet,0.9352615101801994,interpolate_polynomial,1.0097740900236707,0.07451257984347126,7.379133667583466,"[233.3085784912109, 232.89622497558597, 233.2743988037109, 233.06724548339844, 232.9197998046875, 232.5212554931641, 231.8998870849609, 233.24034118652344, 233.13119506835935, 233.13168334960935]","[233.204833984375, 232.9577178955078, 232.7776031494141, 233.00274658203125, 232.55723571777344, 233.08067321777344, 233.19400024414065, 233.0765380859375, 232.9877014160156, 233.11868286132807]"
lake2,MAR,20,8,spec-unet,0.3393061022184527,impute_mean,0.3662854358824272,0.02697933366397448,7.365658314799743,"[645.3851928710938, 646.73095703125, 646.4301147460938, 648.1407470703125, 647.3761596679688, 645.606689453125, 647.1775512695312, 645.2146606445312, 645.8707275390625, 646.2332763671875]","[647.020263671875, 646.7466430664062, 646.848876953125, 647.6553344726562, 646.85986328125, 646.9198608398438, 647.6948852539062, 646.6414794921875, 646.6044311523438, 646.522216796875]"
vibr,MAR,50,3,gaf-unet,16.644603162742342,impute_bfill,17.96616333478442,1.3215601720420764,7.3558285506811245,"[35.24079513549805, 31.33080291748047, 27.43712615966797, 33.61281967163086, 34.896297454833984, 35.15195083618164, 26.80443572998047, 31.695310592651367, 34.66119384765625, 30.00408744812012]","[36.66966247558594, 37.41144561767578, 35.19781494140625, 31.252042770385746, 32.49195861816406, 34.86468505859375, 34.564701080322266, 35.27085876464844, 35.60340118408203, 34.68548583984375]"
lake1,MCAR,2,1,spec-unet,0.48894046002935,impute_bfill,0.5265053545107834,0.03756489448143341,7.134760199416745,"[426.7265319824219, 426.2951354980469, 426.1942443847656, 426.7773132324219, 426.57275390625, 426.8599548339844, 426.2274169921875, 424.3421936035156, 426.8143005371094, 426.5358276367188]","[426.7099609375, 426.5327758789063, 426.5849609375, 426.5977478027344, 426.5457763671875, 426.6404418945313, 426.5369567871094, 426.5688781738281, 426.5524291992188, 426.5259399414063]"
lake2,MAR,20,2,spec-unet,0.3778660280844994,impute_ffill,0.406810405696107,0.02894437761160762,7.1149550764513805,"[647.0491333007812, 647.2642822265625, 646.9561157226562, 646.2582397460938, 646.0986938476562, 647.8156127929688, 648.0714721679688, 645.9981079101562, 646.415771484375, 645.89697265625]","[647.1031494140625, 647.1467895507812, 646.6094360351562, 647.273681640625, 647.4636840820312, 647.010986328125, 647.859130859375, 647.4739379882812, 646.4761352539062, 647.4019165039062]"
lake3,MAR,50,7,mtf-unet,0.787777235874514,interpolate_pchip,0.8458645497973715,0.058087313922857486,6.86721224299711,"[229.78488159179688, 229.27491760253903, 229.80908203125, 229.65670776367188, 229.5360412597656, 229.86959838867188, 229.34201049804688, 229.83056640625, 228.8686370849609, 228.42735290527344]","[233.2039794921875, 233.23471069335935, 233.1781005859375, 233.16781616210935, 232.9704132080078, 233.06092834472656, 232.72412109375, 232.58932495117188, 232.27577209472656, 231.4591827392578]"
lake2,MNAR,50,5,gaf-unet,0.3360639705076132,impute_mean,0.3607526653678525,0.02468869486023928,6.843662495206986,"[645.6011352539062, 645.1396484375, 644.6827392578125, 645.4443359375, 645.4058837890625, 646.4454345703125, 645.0910034179688, 645.2994384765625, 645.7670288085938, 645.181396484375]","[646.8457641601562, 646.431884765625, 646.5048217773438, 646.9122924804688, 647.2678833007812, 646.7435913085938, 646.612060546875, 646.5505981445312, 646.6453247070312, 646.7490844726562]"
lake1,MCAR,2,10,spec-unet,0.4939414360767792,impute_mode,0.5299417451380123,0.03600030906123308,6.793257823434451,"[426.5515441894531, 426.3345642089844, 426.763916015625, 426.3861389160156, 426.53271484375, 423.81927490234375, 426.99609375, 427.0575866699219, 425.9832458496094, 427.21868896484375]","[426.9000244140625, 426.4068908691406, 426.7840881347656, 426.36669921875, 426.7625122070313, 426.7173156738281, 426.9179992675781, 426.8305969238281, 425.2624206542969, 426.7848205566406]"
vibr,MNAR,50,5,spec-unet,17.903392129864244,interpolate_nearest,19.18295311272036,1.2795609828561147,6.67030240514756,"[25.297964096069336, 28.617321014404297, 27.09500312805176, 26.567058563232425, 31.02622413635254, 36.48593521118164, 29.699787139892575, 35.31632614135742, 31.48774719238281, 27.498443603515625]","[31.37917137145996, 31.262060165405277, 33.32593536376953, 30.508695602416992, 32.06884002685547, 30.32930374145508, 31.98639678955078, 28.95882225036621, 34.39205551147461, 29.984331130981445]"
lake3,MNAR,50,8,gaf-unet,0.9246920587268288,interpolate_pchip,0.9877356134918174,0.06304355476498857,6.382634573853081,"[229.95904541015625, 230.06044006347656, 230.61654663085935, 229.13253784179688, 229.16883850097656, 230.15187072753903, 231.38937377929688, 231.71853637695312, 230.6937255859375, 228.85513305664065]","[232.71026611328125, 233.1260986328125, 233.1463623046875, 233.18557739257807, 232.88934326171875, 233.0506591796875, 232.8542633056641, 232.8115081787109, 232.91937255859372, 233.2041931152344]"
lake3,MCAR,5,10,rp-unet,0.9213683085480788,impute_median,0.9811367603416336,0.05976845179355472,6.091755421817367,"[233.1942138671875, 233.1195526123047, 233.3846893310547, 232.50506591796875, 234.76144409179688, 232.6537170410156, 233.64773559570312, 229.32212829589844, 233.63461303710935, 232.03976440429688]","[231.2149353027344, 233.1497039794922, 232.4653167724609, 232.98634338378903, 231.16525268554688, 233.9497528076172, 232.6309967041016, 231.3261566162109, 233.11343383789065, 233.08123779296875]"
lake2,MAR,50,3,mtf-unet,0.3417194590050603,interpolate_nearest,0.3634823770544979,0.021762918049437585,5.98733788025564,"[645.9411010742188, 646.8075561523438, 645.1702270507812, 644.9541015625, 646.3948974609375, 644.8182983398438, 644.488037109375, 645.8821411132812, 647.0540771484375, 646.3178100585938]","[646.870361328125, 646.7857666015625, 646.5654296875, 646.3694458007812, 647.4867553710938, 647.5896606445312, 646.3790283203125, 645.6422729492188, 646.233154296875, 646.7613525390625]"
lake3,MCAR,5,1,mtf-unet,0.8518894730916684,impute_mean,0.9054176498007248,0.05352817670905641,5.911987326604196,"[233.22666931152344, 233.0914001464844, 232.9201812744141, 234.2530212402344, 232.7909393310547, 232.8620147705078, 231.56695556640625, 233.4764709472656, 230.74935913085935, 233.59332275390625]","[233.0795135498047, 233.1014709472656, 232.0215301513672, 233.19479370117188, 234.2070159912109, 230.61497497558597, 232.0219573974609, 231.47781372070312, 233.3399658203125, 233.42076110839844]"
boiler,MAR,5,4,gaf-unet,0.0447800974778958,impute_bfill,0.0475707009315114,0.002790603453615606,5.866223114167058,"[536.2205810546875, 535.9986572265625, 535.785888671875, 535.9234619140625, 536.0906372070312, 536.0557861328125, 536.0906372070312, 536.1183471679688, 535.9464721679688, 536.1005859375]","[536.20703125, 536.1837158203125, 536.0538940429688, 536.0662841796875, 536.068115234375, 536.0294189453125, 536.0654907226562, 536.0364379882812, 535.9423217773438, 536.05615234375]"
