dataset_name,missing_data_type,missing_rate,iteration_nr,fixing_method,difference
pump,MCAR,5p,4,interpolatequadratic,114270.55805203653
lake2,MCAR,5p,9,imputemean,208.42168866920179
pump,MNAR,50p,10,interpolatequadratic,1444234.079873958
lake3,MNAR,5p,6,interpolatequadratic,52.090372304958464
lake3,MCAR,50p,7,imputemode,2831.9245000000005
boiler,MCAR,50p,5,mtfsd2all4,257842.55855132322
lake2,MNAR,50p,6,gafsd2all4,5884.502800000025
vibr,MNAR,50p,2,interpolateindex,989.6443192402166
lake1,MAR,50p,8,interpolateakima,384.3406603506832
vibr,MNAR,2p,9,imputemean,29.771520809164482
boiler,MAR,20p,8,interpolatequadratic,561.7560319293581
boiler,MAR,5p,3,interpolatecubic,136.84266899381703
lake1,MCAR,20p,4,mtfunet,1304.2712688162233
lake3,MCAR,20p,9,gafunet,2026.0930091207483
boiler,MCAR,5p,9,imputebfill,206.84999999999638
pump,MAR,5p,2,imputeffill,102180.81357799999
lake2,MCAR,2p,2,interpolatequadratic,40.848956754750816
lake1,MCAR,5p,4,imputemean,216.19651878327016
lake3,MAR,20p,2,rpunet,1501.9801336828586
boiler,MCAR,20p,8,imputemode,60719.42999999994
pump,MNAR,5p,9,imputebfill,115517.74345349609
lake3,MAR,20p,3,interpolatepolynomial,230.49376916521481
boiler,MAR,5p,2,interpolatepchip,118.40820396868673
lake2,MAR,50p,1,imputebfill,862.9438999999965
lake1,MCAR,2p,5,imputeffill,8.116499999999974
boiler,MCAR,50p,5,interpolateindex,1117.659583472118
vibr,MCAR,20p,8,specunet,385.77929814247875
lake3,MNAR,2p,10,interpolateakima,17.784434099632733
pump,MCAR,20p,8,imputemedian,9539774.021263497
vibr,MCAR,2p,9,interpolatequadratic,42.54578453251039
lake2,MNAR,2p,2,imputemean,66.38166735445861
vibr,MCAR,50p,3,interpolatepolynomial,1259.2722587931398
pump,MNAR,2p,4,imputemean,899261.002521726
lake1,MNAR,5p,3,rpsd2all4,293.5932145178389
lake2,MCAR,2p,8,mtfsd2all4,120.96944935753027
pump,MCAR,20p,4,interpolatequadratic,475784.72406228486
lake2,MCAR,2p,9,gafunet,180.06174516951648
vibr,MNAR,50p,1,imputeffill,992.0773089160252
vibr,MAR,2p,6,interpolatenearest,68.46125214839074
lake2,MAR,5p,3,imputemedian,311.88220000000115
pump,MNAR,5p,2,mtfunet,4388221.1990980245
lake1,MCAR,50p,4,mtfunet,3173.8604629831625
pump,MCAR,20p,1,imputemean,10247560.721894016
lake2,MCAR,50p,10,interpolatepchip,636.7751097053323
vibr,MAR,50p,5,gafsd2all4,1490.9328811392224
lake2,MNAR,20p,3,gafsd2all4,3535.289200000003
boiler,MCAR,5p,6,imputemean,15020.711628833586
lake1,MCAR,2p,4,specsd2all4,181.56646126110184
lake3,MCAR,2p,6,imputemedian,56.193800000000124
lake1,MNAR,20p,9,interpolatequadratic,125.58032662631166
lake3,MAR,2p,4,interpolatecubic,23.533845746008154
lake1,MAR,50p,9,imputemedian,2698.1975999999995
pump,MCAR,50p,3,gafsd2all4,108918331.62016924
lake3,MCAR,20p,1,interpolateindex,156.42410000000015
