dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,4,interpolate_polynomial,XGBoost,0.04905581303124039,0.2628452148437418,0.2682657948987238
boiler,MAR,2,4,interpolate_quadratic,XGBoost,0.04905581303124039,0.2628452148437418,0.2682657948987238
boiler,MAR,2,4,mtf-unet,XGBoost,0.039900576067778866,0.2137851562499918,0.2236054705034357
boiler,MAR,2,4,mtfsd2all4,XGBoost,0.03247110908759146,0.17398413085936681,0.18056997233985583
boiler,MAR,2,4,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,4,rp-unet,XGBoost,0.0377008036810787,0.2020053710937418,0.21016169242476504
boiler,MAR,2,4,rpsd2all4,XGBoost,0.04149764849117551,0.22234838867186682,0.23247362396770013
boiler,MAR,2,4,spec-unet,XGBoost,0.025919404941022312,0.13887890624998817,0.15037771297363356
boiler,MAR,2,4,specsd2all4,XGBoost,0.023404971772462053,0.12540844726561318,0.139489480406022
boiler,MAR,2,5,gaf-unet,XGBoost,0.045417110783653805,0.24335058593749181,0.24913137299711197
boiler,MAR,2,5,gafsd2all4,XGBoost,0.06403677515371732,0.3431064453124918,0.36091515667608626
boiler,MAR,2,5,impute_bfill,XGBoost,0.04924846864662372,0.2638767089843668,0.2703313277363326
boiler,MAR,2,5,impute_ffill,XGBoost,0.04941580888396327,0.2647739257812418,0.2700703041063159
boiler,MAR,2,5,impute_mean,XGBoost,0.05074960055011518,0.27192114257811684,0.27823441185155184
boiler,MAR,2,5,impute_median,XGBoost,0.05071109827781978,0.2717136230468668,0.27839408779586167
boiler,MAR,2,5,impute_mode,XGBoost,0.050156327753913946,0.2687351074218668,0.29162062753950335
boiler,MAR,2,5,interpolate_akima,XGBoost,0.04898856770673228,0.2624851074218668,0.26786304674010913
boiler,MAR,2,5,interpolate_cubic,XGBoost,0.04935314366191762,0.2644382324218668,0.2698783304944051
boiler,MAR,2,5,interpolate_index,XGBoost,0.0493633523681936,0.2644931640624918,0.2703262727679551
boiler,MAR,2,5,interpolate_linear,XGBoost,0.0493633523681936,0.2644931640624918,0.2703262727679551
boiler,MAR,2,5,interpolate_nearest,XGBoost,0.048854168098333144,0.2617648925781168,0.26736797176774363
boiler,MAR,2,5,interpolate_pchip,XGBoost,0.048785745622489364,0.2613986816406168,0.2665518964903436
boiler,MAR,2,5,interpolate_polynomial,XGBoost,0.049062697806928665,0.2628818359374918,0.2683541210720778
boiler,MAR,2,5,interpolate_quadratic,XGBoost,0.049062697806928665,0.2628818359374918,0.2683541210720778
boiler,MAR,2,5,mtf-unet,XGBoost,0.06717604214235877,0.3599594726562373,0.510654430294173
boiler,MAR,2,5,mtfsd2all4,XGBoost,0.0313551526611954,0.1680087890624918,0.18056825977485538
boiler,MAR,2,5,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,5,rp-unet,XGBoost,0.03962268331033798,0.21230200195311683,0.2338343541468705
boiler,MAR,2,5,rpsd2all4,XGBoost,0.039133006788115196,0.20967749023436683,0.22483054508006534
boiler,MAR,2,5,spec-unet,XGBoost,0.03143715164862958,0.1684421386718668,0.18231402154816229
boiler,MAR,2,5,specsd2all4,XGBoost,0.023273688652468955,0.12470434570311681,0.13910546345262995
boiler,MAR,2,6,gaf-unet,XGBoost,0.0441234568584327,0.236419677734375,0.25387938852687125
boiler,MAR,2,6,gafsd2all4,XGBoost,0.14409897895200635,0.772100830078125,1.2231250358797472
boiler,MAR,2,6,impute_bfill,XGBoost,0.04902384487846382,0.26267431640624184,0.26702688517163964
boiler,MAR,2,6,impute_ffill,XGBoost,0.04938151729257847,0.2645908203124918,0.26935517911941276
boiler,MAR,2,6,impute_mean,XGBoost,0.05525677566815437,0.2960666503906168,0.3054547867620143
boiler,MAR,2,6,impute_median,XGBoost,0.051764690645426784,0.2773593749999918,0.29398964939256056
boiler,MAR,2,6,impute_mode,XGBoost,0.047654576666133215,0.2553317871093668,0.2740846887597028
boiler,MAR,2,6,interpolate_akima,XGBoost,0.04936789020742799,0.2645175781249918,0.269458040738408
boiler,MAR,2,6,interpolate_cubic,XGBoost,0.048538603836135126,0.2600742187499918,0.2647792042311334
boiler,MAR,2,6,interpolate_index,XGBoost,0.04911277685179658,0.2631503906249918,0.26808538219777983
boiler,MAR,2,6,interpolate_linear,XGBoost,0.04911277685179658,0.2631503906249918,0.26808538219777983
boiler,MAR,2,6,interpolate_nearest,XGBoost,0.049333623457746716,0.2643344726562418,0.2692258463725147
boiler,MAR,2,6,interpolate_pchip,XGBoost,0.04992707839044463,0.2675144042968668,0.27207865256008856
boiler,MAR,2,6,interpolate_polynomial,XGBoost,0.04853742297335161,0.2600681152343668,0.2646799325761939
boiler,MAR,2,6,interpolate_quadratic,XGBoost,0.04853742297335161,0.2600681152343668,0.2646799325761939
boiler,MAR,2,6,mtf-unet,XGBoost,0.021110428513779814,0.1131079101562591,0.12758057885693716
boiler,MAR,2,6,mtfsd2all4,XGBoost,0.060908214924222444,0.3263583984374918,0.4712776391818136
boiler,MAR,2,6,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,6,rp-unet,XGBoost,0.038673941610588694,0.20721362304686863,0.2349331704377741
boiler,MAR,2,6,rpsd2all4,XGBoost,0.04380678964305719,0.23474121093747727,0.3010667031160633
boiler,MAR,2,6,spec-unet,XGBoost,0.7334714549970975,3.930623779296866,5.9618418832517115
boiler,MAR,2,6,specsd2all4,XGBoost,0.8415594451702835,4.509827148437512,7.634600561628805
boiler,MAR,2,7,gaf-unet,XGBoost,0.05185735821740091,0.2778537597656168,0.2878903254606997
boiler,MAR,2,7,gafsd2all4,XGBoost,0.07183683891721267,0.3849033203124918,0.39123176520787606
boiler,MAR,2,7,impute_bfill,XGBoost,0.048257289726553874,0.2585666503906168,0.26408738543268817
boiler,MAR,2,7,impute_ffill,XGBoost,0.04871973434505246,0.2610446777343668,0.2661813940334008
boiler,MAR,2,7,impute_mean,XGBoost,0.049448559220646185,0.2649448242187418,0.27497345305316795
boiler,MAR,2,7,impute_median,XGBoost,0.05024529610354307,0.2692172851562418,0.27596066268614267
boiler,MAR,2,7,impute_mode,XGBoost,0.039797189455908495,0.21322973632811681,0.23538607528066466
boiler,MAR,2,7,interpolate_akima,XGBoost,0.04854652718618595,0.2601169433593668,0.2661908637053913
boiler,MAR,2,7,interpolate_cubic,XGBoost,0.049103703362724786,0.26310156249999184,0.2686168829679795
boiler,MAR,2,7,interpolate_index,XGBoost,0.04876309750672613,0.2612766113281168,0.26674828327858574
boiler,MAR,2,7,interpolate_linear,XGBoost,0.04876309750672613,0.2612766113281168,0.26674828327858574
boiler,MAR,2,7,interpolate_nearest,XGBoost,0.04812740922259488,0.2578708496093668,0.26378344287080174
boiler,MAR,2,7,interpolate_pchip,XGBoost,0.048947532002557706,0.2622653808593668,0.26794592856939264
boiler,MAR,2,7,interpolate_polynomial,XGBoost,0.049081979367531926,0.2629855957031168,0.26845456762421455
boiler,MAR,2,7,interpolate_quadratic,XGBoost,0.049081979367531926,0.2629855957031168,0.26845456762421455
boiler,MAR,2,7,mtf-unet,XGBoost,0.0334074328625123,0.17900732421874183,0.19503078723528594
boiler,MAR,2,7,mtfsd2all4,XGBoost,0.026744766262958432,0.14330444335935227,0.1617891168599144
boiler,MAR,2,7,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,7,rp-unet,XGBoost,0.03478426019921199,0.1863803710937418,0.21297765576051295
boiler,MAR,2,7,rpsd2all4,XGBoost,0.03853758957993514,0.20648535156249181,0.2300652096787486
boiler,MAR,2,7,spec-unet,XGBoost,0.019720157856558937,0.10565966796873454,0.12159758042022378
boiler,MAR,2,7,specsd2all4,XGBoost,0.026204363919870518,0.14040478515623817,0.16661307626272634
boiler,MAR,2,8,gaf-unet,XGBoost,0.05010368252497262,0.2684543457031168,0.29030040646484473
boiler,MAR,2,8,gafsd2all4,XGBoost,0.07264687398589413,0.3892490234374918,0.40327790093758653
boiler,MAR,2,8,impute_bfill,XGBoost,0.047987346417523585,0.25712011718749184,0.2626189274909664
boiler,MAR,2,8,impute_ffill,XGBoost,0.04842823018336623,0.2594821777343668,0.26474705289063594
boiler,MAR,2,8,impute_mean,XGBoost,0.05298547506323797,0.2838962402343668,0.29692940443862575
boiler,MAR,2,8,impute_median,XGBoost,0.04590521188573463,0.24596289062499183,0.2506817269874285
boiler,MAR,2,8,impute_mode,XGBoost,0.0486064293054385,0.2604343261718668,0.2742923630104537
boiler,MAR,2,8,interpolate_akima,XGBoost,0.048752735810683796,0.2612216796874918,0.26623310701524683
boiler,MAR,2,8,interpolate_cubic,XGBoost,0.048282399191570104,0.2587009277343668,0.2644322697799073
boiler,MAR,2,8,interpolate_index,XGBoost,0.04853533878275933,0.2600559082031168,0.2663014755108993
boiler,MAR,2,8,interpolate_linear,XGBoost,0.04853533878275933,0.2600559082031168,0.2663014755108993
boiler,MAR,2,8,interpolate_nearest,XGBoost,0.048029469961171134,0.2573459472656168,0.26227383082861255
boiler,MAR,2,8,interpolate_pchip,XGBoost,0.04819126272060045,0.2582126464843668,0.264065182344928
boiler,MAR,2,8,interpolate_polynomial,XGBoost,0.04861047760152486,0.2604587402343668,0.2656417294956009
boiler,MAR,2,8,interpolate_quadratic,XGBoost,0.04861047760152486,0.2604587402343668,0.2656417294956009
boiler,MAR,2,8,mtf-unet,XGBoost,0.034592754600450124,0.1853488769531168,0.20332196156384832
boiler,MAR,2,8,mtfsd2all4,XGBoost,0.05490531745078488,0.2941706542968632,0.40560330118718174
boiler,MAR,2,8,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,8,rp-unet,XGBoost,0.03620564778390926,0.19399145507811683,0.20213140730324147
boiler,MAR,2,8,rpsd2all4,XGBoost,0.044648349745355996,0.23923071289061681,0.24885559079560768
boiler,MAR,2,8,spec-unet,XGBoost,0.01821506854445889,0.09759106445310409,0.12307088913081433
boiler,MAR,2,8,specsd2all4,XGBoost,0.019737118023339318,0.10574902343748818,0.1414919978278352
boiler,MAR,2,9,gaf-unet,XGBoost,0.04556200092190093,0.2441257324218668,0.2563500910703258
boiler,MAR,2,9,gafsd2all4,XGBoost,0.0863587260786275,0.4627231445312418,0.5201437871178474
boiler,MAR,2,9,impute_bfill,XGBoost,0.048520516778162055,0.2599765624999918,0.265291523311964
boiler,MAR,2,9,impute_ffill,XGBoost,0.04810688698241758,0.25776098632811684,0.2629758748705909
boiler,MAR,2,9,impute_mean,XGBoost,0.04906470926871077,0.26288793945311684,0.27554837089913065
boiler,MAR,2,9,impute_median,XGBoost,0.04889223882554604,0.2619663085937418,0.27371307657482663
boiler,MAR,2,9,impute_mode,XGBoost,0.04247392157235356,0.2275791015624918,0.2342175038707247
boiler,MAR,2,9,interpolate_akima,XGBoost,0.04826635195693755,0.25861547851561684,0.26382408523629153
