dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE
boiler,MAR,2,3,impute_mode,XGBoost,0.04653512612014671,0.2493381347656168,0.25821482759695563
boiler,MAR,2,3,interpolate_akima,HoltWinters,0.012238064899069452,0.0655670862467673,0.07747132631256035
boiler,MAR,2,3,interpolate_akima,XGBoost,0.04884623992090024,0.2617221679687418,0.2671164237066076
boiler,MAR,2,3,interpolate_cubic,HoltWinters,0.012162146694834269,0.0651603409605059,0.0770146060654428
boiler,MAR,2,3,interpolate_cubic,XGBoost,0.04798847019958242,0.2571262207031168,0.2635740151618282
boiler,MAR,2,3,interpolate_index,HoltWinters,0.012253309889497601,0.06564875817757639,0.07758097431799406
boiler,MAR,2,3,interpolate_index,XGBoost,0.04888610239672207,0.2619357910156168,0.26776042257742755
boiler,MAR,2,3,interpolate_linear,HoltWinters,0.012253309889497601,0.06564875817757639,0.07758097431799406
boiler,MAR,2,3,interpolate_linear,XGBoost,0.04888610239672207,0.2619357910156168,0.26776042257742755
boiler,MAR,2,3,interpolate_nearest,HoltWinters,0.011599869888249164,0.062147742737636236,0.07394321579307765
boiler,MAR,2,3,interpolate_nearest,XGBoost,0.04895105236257443,0.2622836914062418,0.26790212222191284
boiler,MAR,2,3,interpolate_pchip,HoltWinters,0.012223670981018016,0.06548996659537351,0.0773896892410397
boiler,MAR,2,3,interpolate_pchip,XGBoost,0.04855348637953382,0.2601535644531168,0.26527374873664333
boiler,MAR,2,3,interpolate_polynomial,HoltWinters,0.012178840247884634,0.06524978065509686,0.07711190966982368
boiler,MAR,2,3,interpolate_polynomial,XGBoost,0.04911499811084132,0.26316259765624184,0.26873876056899404
boiler,MAR,2,3,interpolate_quadratic,HoltWinters,0.012178840247884634,0.06524978065509686,0.07711190966982368
boiler,MAR,2,3,interpolate_quadratic,XGBoost,0.04911499811084132,0.26316259765624184,0.26873876056899404
boiler,MAR,2,3,mtf-unet,HoltWinters,0.012802823008715002,0.06859512455075674,0.0762777529731617
boiler,MAR,2,3,mtf-unet,XGBoost,0.045183703895914765,0.24209326171874182,0.2591747277941546
boiler,MAR,2,3,original,HoltWinters,0.012091092726891425,0.06477962339364467,0.07668835572590069
boiler,MAR,2,3,original,XGBoost,0.04859119866884098,0.26035498046874184,0.26611943001738725
boiler,MAR,2,3,rp-unet,HoltWinters,0.013829601366868944,0.07409624200282679,0.0828946141161253
boiler,MAR,2,3,rp-unet,XGBoost,0.035110872248469774,0.1881198730468668,0.21338812381903122
boiler,MAR,2,3,spec-unet,HoltWinters,0.007295412380172868,0.03908663474321657,0.04939136481132847
boiler,MAR,2,3,spec-unet,XGBoost,0.035389737511114336,0.189617919921875,0.23894223303975837
boiler,MAR,2,4,gaf-unet,HoltWinters,0.014762059733781557,0.07909434600840086,0.08397003365020093
boiler,MAR,2,4,gaf-unet,XGBoost,0.05014990554269731,0.2687106933593668,0.27991763204605136
boiler,MAR,2,4,impute_bfill,HoltWinters,0.01173377680485978,0.06286519684599626,0.07466893278671344
boiler,MAR,2,4,impute_bfill,XGBoost,0.04886436297119656,0.26181982421874184,0.26668706800730696
boiler,MAR,2,4,impute_ffill,HoltWinters,0.011675365368296107,0.06255223426098837,0.07436093386378051
boiler,MAR,2,4,impute_ffill,XGBoost,0.04895787173121115,0.2623203124999918,0.26793533502775396
boiler,MAR,2,4,impute_mean,HoltWinters,0.00780667401912273,0.041827551751953254,0.04682823443297189
