dataset,missing_data_type,missing_rate,iteration_nr,fixing_method,prediction_method,MAPE,MAE,RMSE,val_1,val_2,val_3,val_4,val_5,val_6,val_7,val_8,val_9,val_10
boiler,MAR,2,1,interpolate_pchip,XGBoost,0.0482857183103061,0.2587192382812418,0.2642621091393215,536.236328125,536.1884155273438,536.0844116210938,536.0671997070312,536.066650390625,536.0311279296875,536.0645751953125,536.0316772460938,535.9235229492188,536.0532836914062
boiler,MAR,2,1,interpolate_polynomial,XGBoost,0.0491367017656564,0.2632785644531168,0.2685421574613708,536.2308349609375,536.1867065429688,536.097412109375,536.078369140625,536.078369140625,536.028076171875,536.0608520507812,536.0367431640625,535.9326782226562,536.062744140625
boiler,MAR,2,1,interpolate_quadratic,XGBoost,0.0491367017656564,0.2632785644531168,0.2685421574613708,536.2308349609375,536.1867065429688,536.097412109375,536.078369140625,536.078369140625,536.028076171875,536.0608520507812,536.0367431640625,535.9326782226562,536.062744140625
boiler,MAR,2,1,mtfsd2all4,XGBoost,0.0286126352290121,0.1533054199218668,0.174410970124345,536.1327514648438,536.1327514648438,535.9905395507812,535.9035034179688,535.9035034179688,535.9035034179688,535.9035034179688,535.9035034179688,535.9035034179688,536.0159912109375
boiler,MAR,2,1,original,XGBoost,0.0485911986688409,0.2603549804687418,0.2661194300173872,536.2293090820312,536.1836547851562,536.0869750976562,536.0659790039062,536.069580078125,536.0281372070312,536.0574340820312,536.0242919921875,535.951171875,536.0670166015625
boiler,MAR,2,1,rpsd2all4,XGBoost,0.0330753003517302,0.1772189941406168,0.1865352335210678,536.1377563476562,536.0760498046875,536.1047973632812,535.9464111328125,535.9625854492188,535.9020385742188,536.0281982421875,535.9248657226562,535.9146118164062,535.9348754882812
boiler,MAR,2,1,specsd2all4,XGBoost,0.0226267388412716,0.121234130859375,0.1391810391896065,536.107666015625,535.9728393554688,536.093994140625,535.7406005859375,535.8472900390625,535.92333984375,535.8754272460938,535.8329467773438,535.8760986328125,535.92333984375
boiler,MAR,2,2,gafsd2all4,XGBoost,0.061990968384387,0.3321506347656168,0.3489578329675724,536.3577270507812,536.27001953125,536.1588745117188,536.02001953125,536.0595092773438,536.115234375,536.115234375,536.012451171875,536.24755859375,536.1248779296875
boiler,MAR,2,2,impute_bfill,XGBoost,0.0496038577507216,0.2657810058593668,0.2721939971216238,536.2267456054688,536.1981811523438,536.084716796875,536.0816040039062,536.0778198242188,536.0303955078125,536.0703125,536.0326538085938,535.9365844726562,536.0787963867188
boiler,MAR,2,2,impute_ffill,XGBoost,0.0485022109809121,0.2598789062499918,0.264412556746952,536.2238159179688,536.1804809570312,536.1022338867188,536.0630493164062,536.0691528320312,536.0326538085938,536.06103515625,536.0442504882812,535.9343872070312,536.0477294921875
boiler,MAR,2,2,impute_mean,XGBoost,0.0475698701370191,0.2548801269531168,0.2728911051239482,536.241943359375,536.241943359375,536.0297241210938,535.9968872070312,535.9968872070312,536.0297241210938,536.0297241210938,536.0187377929688,535.9674072265625,536.1558227539062
boiler,MAR,2,2,impute_median,XGBoost,0.04824965522236,0.2585239257812418,0.2716607212052778,536.1914672851562,536.1622314453125,536.1367797851562,536.1232299804688,535.9619750976562,536.1365356445312,535.9619750976562,535.9912109375,535.9432983398438,536.1365356445312
boiler,MAR,2,2,impute_mode,XGBoost,0.0505193819871262,0.2706882324218668,0.2763915764874549,536.2523803710938,536.244873046875,536.09326171875,536.0657958984375,536.0733032226562,536.021240234375,536.0874633789062,536.0038452148438,535.9970703125,536.0276489257812
boiler,MAR,2,2,interpolate_akima,XGBoost,0.0479658282162631,0.2570041503906168,0.2618383754745865,536.20751953125,536.1819458007812,536.0924072265625,536.0576171875,536.0664672851562,536.039306640625,536.0577392578125,536.0309448242188,535.9427490234375,536.0533447265625
boiler,MAR,2,2,interpolate_cubic,XGBoost,0.0487506034568128,0.2612094726562418,0.2669799886398824,536.225830078125,536.199951171875,536.0858764648438,536.0471801757812,536.0849609375,536.0304565429688,536.0669555664062,536.0233764648438,535.9475708007812,536.0599365234375
boiler,MAR,2,2,interpolate_index,XGBoost,0.0490262078417286,0.2626865234374918,0.26779632968002,536.2229614257812,536.19677734375,536.1032104492188,536.0597534179688,536.062255859375,536.0440673828125,536.0597534179688,536.0440673828125,535.9320678710938,536.0619506835938
boiler,MAR,2,2,interpolate_linear,XGBoost,0.0490262078417286,0.2626865234374918,0.26779632968002,536.2229614257812,536.19677734375,536.1032104492188,536.0597534179688,536.062255859375,536.0440673828125,536.0597534179688,536.0440673828125,535.9320678710938,536.0619506835938
boiler,MAR,2,2,interpolate_nearest,XGBoost,0.0482573654639933,0.2585666503906168,0.2643865865564967,536.2252197265625,536.1874389648438,536.089111328125,536.0639038085938,536.0662231445312,536.0214233398438,536.065673828125,536.0338745117188,535.9327392578125,536.06005859375
